id_1,id_2
F2M32,F2F30
F7M117,Grandson
F6M92,Grandfather
F7M131,Brother
F7M125,Person
F10M190,Thing
F6F77,F6M69
F6M88,NamedIndividual
F3F52,Thing
F10M202,NamedIndividual
F6F70,F6M71
F6M92,NamedIndividual
F8M138,F8F137
F10F193,F10M194
F6F84,Sister
F6M90,Person
F2F33,Female
F6F96,Thing
F2F28,F2F19
F2F28,Mother
F6M92,F6F93
F10F186,F10F192
F6F94,Thing
F6F96,Granddaughter
F2M32,Son
F2M39,NamedIndividual
F9F169,Granddaughter
F7M115,Grandson
F10M199,F10F200
F6F87,Person
F10F200,F10M199
F6F94,Granddaughter
F6F94,F6F96
F10F201,Granddaughter
F9M167,F9M157
F2M27,NamedIndividual
F7F121,NamedIndividual
F2M18,NamedIndividual
F6M73,F6F74
F8M132,Thing
F6M92,F6F94
F7M130,F7F129
F9F141,F9F143
F9M162,Male
F9F150,F9M144
F9M151,Brother
F6M81,Son
F7F119,F7F121
F2F10,Grandmother
F9M147,F9M146
F9F169,F9M167
F9M155,F9F154
F5F61,Grandmother
F7F103,Thing
F9F145,F9M147
F7M115,F7F116
F6F74,Person
F2F22,Thing
F10M171,Person
F9F150,Person
F7F121,F7F119
F3M43,Father
F6M85,F6F86
F6F82,F6F83
F8M136,Son
F2M37,F2F36
F3M51,Person
F5M68,F5M66
F5M64,F5M60
F10F198,Person
F7F129,F7M130
F7M109,Thing
F6F97,NamedIndividual
F8F133,F8M134
F7M113,Son
F6F91,F6M90
F2F19,Grandmother
F2F19,Daughter
F7M120,Person
F2F17,F2M16
F1M4,F1F3
F1F3,F1M1
F3M50,Thing
F9M153,Male
F9F160,Person
F10M171,F10F181
F10F175,F10F174
F9M159,Brother
F6F101,Person
F3M40,Grandfather
F10F186,Grandmother
F2F15,F2M16
F10F191,Female
F3M51,Grandson
F10F186,Daughter
F10M178,Male
F5F61,F5M60
F9F143,F9M142
F6M71,F6F77
F9F156,NamedIndividual
F2F36,Female
F3F52,Person
F9F163,F9M162
F7M112,NamedIndividual
F4M59,Male
Sister,PersonWithASibling
F6M88,F6F89
F9M139,F9F141
F10M184,F10M182
F2F33,F2M35
F10M183,F10M182
F6F97,Mother
F2F14,NamedIndividual
F10F201,Person
F4M57,F4F56
F9M157,Father
F9F168,F9M167
F9M139,Thing
F2M20,Thing
F2M25,NamedIndividual
F9M153,F9M155
F10M190,Grandson
F8M132,Person
F6F86,F6F87
F3M45,NamedIndividual
F10M173,Person
F7F108,F7F106
F4F55,Female
F7M123,Male
F10F175,NamedIndividual
F6M92,Male
F10F200,Thing
F9M170,NamedIndividual
F1F3,F1F2
F6M90,F6F91
F7F129,NamedIndividual
F2F26,NamedIndividual
F7M110,F7M112
F1F7,Sister
F10F172,Female
F9F143,Daughter
F8M136,Person
F3F42,NamedIndividual
F10F177,Thing
F10M171,F10F195
F3F53,F3M45
F2M11,F2F10
F10F174,Thing
F7F111,Thing
F10F177,Granddaughter
F9M147,F9F145
F2M20,F2F19
F6M100,Son
F9M142,F9M153
F7M131,F7M123
F6F96,Daughter
F7M113,Person
F2M18,Male
F6F94,Grandmother
F9M157,F9F140
F6M71,Male
F9F169,Daughter
F2F10,F2M11
F7F129,F7F127
F2M9,F2F26
F2M31,Father
F10F185,NamedIndividual
F7M125,F7F127
F9F141,Daughter
F1F2,F1F3
F10F195,F10M173
F2M34,NamedIndividual
F6F84,F6F87
F2M37,Thing
F10M187,F10F193
F2M9,Male
F7M115,F7F106
F10M196,Person
F1F5,Person
F8M136,Grandson
F3M45,F3F46
F9M167,F9M139
F10M187,Male
